problem,endpoint,median_ms,p95_ms,max_ms
Problem 1,ep_activity_event,3.87,4.34,4.48
Problem 1,ep_autosave_latest,4.10,4.76,4.83
Problem 1,ep_autosave_post,28.53,29.43,29.46
Problem 1,ep_check_session,4.37,5.53,5.85
Problem 1,ep_code_run,10462.69,10678.40,10699.85
Problem 1,ep_health,1.01,2.61,3.06
Problem 1,ep_lab_remaining,2.57,3.21,4.40
Problem 1,ep_problem_statement,3.78,5.23,5.83
Problem 1,ep_problems_lab,4.24,4.97,6.01
Problem 1,ep_queue_status,4.38,5.10,6.68
Problem 1,ep_submissions_list,3.40,4.07,4.12
Problem 5,ep_activity_event,3.57,4.54,4.95
Problem 5,ep_autosave_latest,3.75,4.71,6.12
Problem 5,ep_autosave_post,28.85,30.42,36.65
Problem 5,ep_check_session,4.06,5.21,5.88
Problem 5,ep_code_run,6517.21,6584.41,6610.41
Problem 5,ep_health,0.95,1.10,1.82
Problem 5,ep_lab_remaining,2.60,3.58,9.17
Problem 5,ep_problem_statement,3.68,4.63,4.68
Problem 5,ep_problems_lab,3.91,4.28,4.90
Problem 5,ep_queue_status,4.31,5.38,6.56
Problem 5,ep_submissions_list,3.28,3.84,4.10
Problem 12,ep_activity_event,6.16,12.61,17.00
Problem 12,ep_autosave_latest,5.92,10.46,13.36
Problem 12,ep_autosave_post,31.25,43.57,52.13
Problem 12,ep_check_session,6.81,20.62,30.77
Problem 12,ep_code_run,8532.06,8591.39,8597.65
Problem 12,ep_health,1.63,2.89,3.05
Problem 12,ep_lab_remaining,4.50,12.63,16.05
Problem 12,ep_problem_statement,6.35,17.49,23.74
Problem 12,ep_problems_lab,7.06,18.69,25.24
Problem 12,ep_queue_status,6.36,12.89,16.44
Problem 12,ep_submissions_list,6.17,11.40,14.85
